
STATUS | wrapper  | 2016/03/22 21:31:47 |     http://wrapper.tanukisoftware.com
NOTICE | wrapper  | 2016/03/22 21:31:47 | 
NOTICE | wrapper  | 2016/03/22 21:31:47 | --------------------------------------------------------------------
NOTICE | wrapper  | 2016/03/22 21:31:47 | Thank you for your interest in the Java Service Wrapper.
NOTICE | wrapper  | 2016/03/22 21:31:47 | 
NOTICE | wrapper  | 2016/03/22 21:31:47 | You are running with a full featured trial License Key which will
NOTICE | wrapper  | 2016/03/22 21:31:47 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2016/03/22 21:31:47 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2016/03/22 21:31:47 | automatically after 15 minutes.
NOTICE | wrapper  | 2016/03/22 21:31:47 | 
NOTICE | wrapper  | 2016/03/22 21:31:47 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2016/03/22 21:31:47 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2016/03/22 21:31:47 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2016/03/22 21:31:47 | a one-month Free trial license:
NOTICE | wrapper  | 2016/03/22 21:31:47 |   http://wrapper.tanukisoftware.com/trial
NOTICE | wrapper  | 2016/03/22 21:31:47 | 
NOTICE | wrapper  | 2016/03/22 21:31:47 | The Java Service Wrapper requires a License Key to activate the
NOTICE | wrapper  | 2016/03/22 21:31:47 | software.  License Keys can be purchased on the Java Service Wrapper
NOTICE | wrapper  | 2016/03/22 21:31:47 | web site:
NOTICE | wrapper  | 2016/03/22 21:31:47 |   http://wrapper.tanukisoftware.com/purchase
NOTICE | wrapper  | 2016/03/22 21:31:47 | 
NOTICE | wrapper  | 2016/03/22 21:31:47 | This trial License Key in intended for testing and development and
NOTICE | wrapper  | 2016/03/22 21:31:47 | should not be used as part of a production environment.
NOTICE | wrapper  | 2016/03/22 21:31:47 | --------------------------------------------------------------------
NOTICE | wrapper  | 2016/03/22 21:31:47 | 
STATUS | wrapper  | 2016/03/22 21:31:47 | 
STATUS | wrapper  | 2016/03/22 21:31:48 | Launching a JVM...
INFO   | jvm 1    | 2016/03/22 21:31:48 | Error: Could not find or load main class org.tanukisoftware.wrapper.test.com.devcolibri.logpack.Main
ERROR  | wrapper  | 2016/03/22 21:31:48 | JVM exited while loading the application.
STATUS | wrapper  | 2016/03/22 21:31:53 | Launching a JVM...
INFO   | jvm 2    | 2016/03/22 21:31:53 | Error: Could not find or load main class org.tanukisoftware.wrapper.test.com.devcolibri.logpack.Main
ERROR  | wrapper  | 2016/03/22 21:31:53 | JVM exited while loading the application.
STATUS | wrapper  | 2016/03/22 21:31:58 | Launching a JVM...
INFO   | jvm 3    | 2016/03/22 21:31:58 | Error: Could not find or load main class org.tanukisoftware.wrapper.test.com.devcolibri.logpack.Main
ERROR  | wrapper  | 2016/03/22 21:31:58 | JVM exited while loading the application.
STATUS | wrapper  | 2016/03/22 21:32:04 | Launching a JVM...
INFO   | jvm 4    | 2016/03/22 21:32:04 | Error: Could not find or load main class org.tanukisoftware.wrapper.test.com.devcolibri.logpack.Main
ERROR  | wrapper  | 2016/03/22 21:32:04 | JVM exited while loading the application.
STATUS | wrapper  | 2016/03/22 21:32:09 | Launching a JVM...
INFO   | jvm 5    | 2016/03/22 21:32:09 | Error: Could not find or load main class org.tanukisoftware.wrapper.test.com.devcolibri.logpack.Main
ERROR  | wrapper  | 2016/03/22 21:32:09 | JVM exited while loading the application.
FATAL  | wrapper  | 2016/03/22 21:32:09 | There were 5 failed launches in a row, each lasting less than 300 seconds.  Giving up.
FATAL  | wrapper  | 2016/03/22 21:32:09 |   There may be a configuration problem: please check the logs.
STATUS | wrapper  | 2016/03/22 21:32:09 | <-- Wrapper Stopped
STATUS | wrapper  | 2016/03/22 21:34:30 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/03/22 21:34:30 | Java Service Wrapper Standard Edition 64-bit 3.5.29
STATUS | wrapper  | 2016/03/22 21:34:30 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/03/22 21:34:30 |     http://wrapper.tanukisoftware.com
NOTICE | wrapper  | 2016/03/22 21:34:30 | 
NOTICE | wrapper  | 2016/03/22 21:34:30 | --------------------------------------------------------------------
NOTICE | wrapper  | 2016/03/22 21:34:30 | Thank you for your interest in the Java Service Wrapper.
NOTICE | wrapper  | 2016/03/22 21:34:30 | 
NOTICE | wrapper  | 2016/03/22 21:34:30 | You are running with a full featured trial License Key which will
NOTICE | wrapper  | 2016/03/22 21:34:30 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2016/03/22 21:34:30 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2016/03/22 21:34:30 | automatically after 15 minutes.
NOTICE | wrapper  | 2016/03/22 21:34:30 | 
NOTICE | wrapper  | 2016/03/22 21:34:30 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2016/03/22 21:34:30 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2016/03/22 21:34:30 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2016/03/22 21:34:30 | a one-month Free trial license:
NOTICE | wrapper  | 2016/03/22 21:34:30 |   http://wrapper.tanukisoftware.com/trial
NOTICE | wrapper  | 2016/03/22 21:34:30 | 
NOTICE | wrapper  | 2016/03/22 21:34:30 | The Java Service Wrapper requires a License Key to activate the
NOTICE | wrapper  | 2016/03/22 21:34:30 | software.  License Keys can be purchased on the Java Service Wrapper
NOTICE | wrapper  | 2016/03/22 21:34:30 | web site:
NOTICE | wrapper  | 2016/03/22 21:34:30 |   http://wrapper.tanukisoftware.com/purchase
NOTICE | wrapper  | 2016/03/22 21:34:30 | 
NOTICE | wrapper  | 2016/03/22 21:34:30 | This trial License Key in intended for testing and development and
NOTICE | wrapper  | 2016/03/22 21:34:30 | should not be used as part of a production environment.
NOTICE | wrapper  | 2016/03/22 21:34:30 | --------------------------------------------------------------------
NOTICE | wrapper  | 2016/03/22 21:34:30 | 
STATUS | wrapper  | 2016/03/22 21:34:30 | 
STATUS | wrapper  | 2016/03/22 21:34:30 | Launching a JVM...
INFO   | jvm 1    | 2016/03/22 21:34:30 | Error: Could not find or load main class org.tanukisoftware.wrapper.com.devcolibri.logpack.Main
ERROR  | wrapper  | 2016/03/22 21:34:30 | JVM exited while loading the application.
STATUS | wrapper  | 2016/03/22 21:34:35 | Launching a JVM...
INFO   | jvm 2    | 2016/03/22 21:34:35 | Error: Could not find or load main class org.tanukisoftware.wrapper.com.devcolibri.logpack.Main
ERROR  | wrapper  | 2016/03/22 21:34:35 | JVM exited while loading the application.
STATUS | wrapper  | 2016/03/22 21:34:40 | Launching a JVM...
INFO   | jvm 3    | 2016/03/22 21:34:41 | Error: Could not find or load main class org.tanukisoftware.wrapper.com.devcolibri.logpack.Main
ERROR  | wrapper  | 2016/03/22 21:34:41 | JVM exited while loading the application.
STATUS | wrapper  | 2016/03/22 21:34:46 | Launching a JVM...
INFO   | jvm 4    | 2016/03/22 21:34:46 | Error: Could not find or load main class org.tanukisoftware.wrapper.com.devcolibri.logpack.Main
